df18.c output data

Number of items: 
1

Positions of shelves:
1: (12, 25), (17, 46)
2: (8, 2), (17, 12)
3: (9, 22), (9, 22)
4: (4, 28), (5, 44)
5: (4, 12), (6, 24)

Shopping list:
W, 

Route: 
(8, 26)
(9, 26)
(9, 27)
(9, 28)
(9, 27)
(10, 27)
(10, 28)
(11, 28)
(11, 29)
(11, 28)
(11, 27)
(11, 26)
(10, 26)
(9, 26)
(10, 26)
(10, 25)
(10, 24)
(9, 24)
(8, 24)
(7, 24)
(8, 24)
(8, 23)
(8, 22)
(8, 23)
(9, 23)
(8, 23)
(7, 23)
(7, 24)
(7, 25)
(7, 24)
(8, 24)
(8, 23)
(9, 23)
(9, 24)
(8, 24)
(7, 24)
(7, 23)
(7, 22)
(7, 21)
(7, 22)
(8, 22)
(7, 22)

Cart:
W -> 

Steps: 
1171

00000000000011111111111111111100011111111111100000
00000000000011111111111111111111111111101100100000
00000000000111111111111111111111111111111000000000
00000000000111111111111111111101111111110000000000
000000000000PFZMYHJDXFGNT111XTATZGVRHVDOWCNOK00000
000000000000S           U111HTAHICLIBRQYKRVFR00000
000000000000OSDZWOHYHXWSQ1111110000000000000000000
00000000000000000000011111111110000000000000000000
00CGVZIVORBZB0000000101111111000000000000000000000
00W         G000000011Z111111000000000000000000000
00F         B0000000111111111000000000000000000000
00S         Z0000001111011111100000000000000000000
00A         J000000111110CNVTKCQRGLXWIVSCPVOZJU000
00H         Y000000111000T                    H000
00Z         X000000111000U                    C000
00S         I000000001000Z                    P000
00R         D001101111000G                    G000
00NAPCEXXDIUT001111000000JITHEFJUXRHWOQTISLDIKO000
00000000000000001000000000000000000000000000000000
00000000000000001100000000000000000000000000000000
